codigo,capitulo_codigo,descripcion,unidad,valor_unitario,orden
3.52,3,"Placa de contrapiso en concreto de 20.7 MPa, e= 0.12 m",m2,119843.0,393
3.53,3,"Placa de contrapiso en concreto de 20.7 MPa, e= 0.15 m",m2,149796.0,394
3.54,3,"Placa flotante en concreto de 20.7 MPa, e= 0.30 m",m2,299420.0,395
3.55,3,"Sobrecimiento en concreto 17.2 MPa, 0.10x0.40 cm",m,75293.0,396
3.56,3,"Sobrecimiento en concreto 17.2 MPa, 0.12x0.40 cm",m,90746.0,397
3.57,3,"Sobrecimiento en concreto 17.2 MPa, 0.15x0.40 cm",m,113207.0,398
3.58,3,Solado en concreto de 11.7 MPa,m3,559641.0,399
3.59,3,Solado en concreto de 13.8 MPa,m3,577299.0,400
3.60,3,Solado en concreto de 17.2 MPa,m3,615637.0,401
3.61,3,Viga cimentación en concreto de 20.7 MPa,m3,878519.0,402
3.62,3,"Viga cimentación en concreto de 20.7 MPa, 0.30x0.30 m",m,79059.0,403
3.63,3,"Viga cimentación en concreto de 20.7 MPa, 0.30x0.35 m",m,92238.0,404
3.64,3,"Viga cimentación en concreto de 20.7 MPa, 0.40x0.30 m",m,105176.0,405
3.65,3,Viga cimentación en concreto de 24.2 MPa,m3,915252.0,406
3.66,3,"Viga cimentación en concreto de 24.2 MPa, 0.30x0.30 m",m,82365.0,407
3.67,3,"Viga cimentación en concreto de 24.2 MPa, 0.30x0.35 m",m,96095.0,408
3.68,3,"Viga cimentación en concreto de 24.2 MPa, 0.40x0.30 m",m,109573.0,409
3.69,3,Viga cimentación en concreto de 27.6 MPa,m3,943902.0,410
3.70,3,"Viga cimentación en concreto de 27.6 MPa, 0.30x0.30 m",m,84944.0,411
3.71,3,"Viga cimentación en concreto de 27.6 MPa, 0.30x0.35 m",m,99104.0,412
3.72,3,"Viga cimentación en concreto de 27.6 MPa, 0.40x0.30 m",m,113003.0,413
3.73,3,Viga en Tee invertida en concreto de 20.7 MPa,m3,1078725.0,414
3.74,3,Viga en Tee invertida en concreto de 24.2 MPa,m3,1115459.0,415
3.75,3,Viga en Tee invertida en concreto de 27.6 MPa,m3,1144109.0,416
3.76,3,Zapata en concreto de 20.7 MPa,m3,806400.0,417
3.77,3,Zapata en concreto de 24.2 MPa,m3,843134.0,418
3.78,3,Zapata en concreto de 27.6 MPa,m3,871783.0,419
3.79,3,Zarpa en concreto ciclópeo de 20.7 MPa,m3,578667.0,420
4.01,4,Acero de refuerzo Fy= 240 MPa,Kg,7373.0,421
4.02,4,Acero de refuerzo Fy= 420 MPa,Kg,7785.0,422
4.03,4,"Anclaje para varilla de acero Ø= 3/8"" L= 10-15 cm",Un,15304.0,423
4.04,4,"Anclaje para varilla de acero Ø= 1/2"" L= 10-15 cm",Un,22798.0,424
4.05,4,"Anclaje para varilla de acero Ø= 5/8"" L= 10-15 cm",Un,30246.0,425
4.06,4,"Anclaje para varilla de acero Ø= 3/4"" L= 16-20 cm",Un,33970.0,426
4.07,4,"Anclaje para varilla de acero Ø= 7/8"" L= 21-25 cm",Un,47027.0,427
4.08,4,"Anclaje para varilla de acero Ø= 1"" L= 21-25 cm",Un,56360.0,428
4.09,4,"Apoyo de neopreno dureza 50, e= 3/4""",m2,4193467.0,429
4.10,4,"Apoyo de neopreno dureza 60, e= 1 ¼""",m2,5618056.0,430
4.11,4,"Apoyo de neopreno dureza 75, e= 1/4""",m2,648430.0,431
4.12,4,Columna circular en concreto de 20.7 MPa Ø= 0.25 m,m,150636.0,432
4.13,4,Columna circular en concreto de 20.7 MPa Ø= 0.30 m,m,173814.0,433
4.14,4,Columna circular en concreto de 20.7 MPa Ø= 0.40 m,m,244700.0,434
4.15,4,Columna circular en concreto de 20.7 MPa Ø= 0.50 m,m,337806.0,435
4.16,4,Columna circular en concreto de 20.7 MPa Ø= 0.60 m,m,452011.0,436
4.17,4,Columna circular en concreto de 24.2 MPa Ø= 0.25 m,m,152490.0,437
4.18,4,Columna circular en concreto de 24.2 MPa Ø= 0.30 m,m,176417.0,438
4.19,4,Columna circular en concreto de 24.2 MPa Ø= 0.40 m,m,249336.0,439
4.20,4,Columna circular en concreto de 24.2 MPa Ø= 0.50 m,m,345010.0,440
4.21,4,Columna circular en concreto de 24.2 MPa Ø= 0.60 m,m,462389.0,441
4.22,4,Columna circular en concreto de 27.6 MPa Ø= 0.25 m,m,153937.0,442
4.23,4,Columna circular en concreto de 27.6 MPa Ø= 0.30 m,m,178448.0,443
4.24,4,Columna circular en concreto de 27.6 MPa Ø= 0.40 m,m,252952.0,444
4.25,4,Columna circular en concreto de 27.6 MPa Ø= 0.50 m,m,350628.0,445
4.26,4,Columna circular en concreto de 27.6 MPa Ø= 0.60 m,m,470483.0,446
4.27,4,Columna de amarre 15x20 cm de 20.7 MPa (incl refuerzo),m,91417.0,447
4.28,4,Columna de amarre 15x30 cm de 20.7 MPa (incl refuerzo),m,137125.0,448
4.29,4,Columna en concreto de 20.7 MPa,m3,1300405.0,449
4.30,4,"Columna en concreto de 20.7 MPa, 0.25x0.25 m",m,159821.0,450
4.31,4,"Columna en concreto de 20.7 MPa, 0.25x0.30 m",m,184666.0,451
4.32,4,"Columna en concreto de 20.7 MPa, 0.30x0.30 m",m,193008.0,452
4.33,4,"Columna en concreto de 20.7 MPa, 0.30x0.60 m",m,320611.0,453
4.34,4,"Columna en concreto de 20.7 MPa, 0.35x0.35 m",m,233251.0,454
4.35,4,"Columna en concreto de 20.7 MPa, 0.35x0.40 m",m,266175.0,455
4.36,4,"Columna en concreto de 20.7 MPa, 0.35x0.50 m",m,311273.0,456
4.37,4,"Columna en concreto de 20.7 MPa, 0.40x0.40 m",m,277125.0,457
4.38,4,"Columna en concreto de 20.7 MPa, 0.40x0.50 m",m,324830.0,458
4.39,4,"Columna en concreto de 20.7 MPa, 0.40x0.60 m",m,372568.0,459
4.40,4,"Columna en concreto de 20.7 MPa, 0.45x0.50 m",m,371106.0,460
4.41,4,"Columna en concreto de 20.7 MPa, 0.50x0.50 m",m,384663.0,461
4.42,4,"Columna en concreto de 20.7 MPa, 0.50x0.60 m",m,443697.0,462
4.43,4,"Columna en concreto de 20.7 MPa, 0.60x0.60 m",m,514834.0,463
4.44,4,Columna en concreto de 24.2 MPa,m3,1337139.0,464
4.45,4,"Columna en concreto de 24.2 MPa, 0.25x0.25 m",m,162139.0,465
4.46,4,"Columna en concreto de 24.2 MPa, 0.25x0.30 m",m,187412.0,466
4.47,4,"Columna en concreto de 24.2 MPa, 0.30x0.30 m",m,196325.0,467
4.48,4,"Columna en concreto de 24.2 MPa, 0.30x0.60 m",m,327223.0,468
4.49,4,"Columna en concreto de 24.2 MPa, 0.35x0.35 m",m,237751.0,469
4.50,4,"Columna en concreto de 24.2 MPa, 0.35x0.40 m",m,271310.0,470
4.51,4,"Columna en concreto de 24.2 MPa, 0.35x0.50 m",m,317692.0,471
4.52,4,"Columna en concreto de 24.2 MPa, 0.40x0.40 m",m,283009.0,472
4.53,4,"Columna en concreto de 24.2 MPa, 0.40x0.50 m",m,332176.0,473
4.54,4,"Columna en concreto de 24.2 MPa, 0.40x0.60 m",m,381377.0,474
4.55,4,"Columna en concreto de 24.2 MPa, 0.45x0.50 m",m,379380.0,475
4.56,4,"Columna en concreto de 24.2 MPa, 0.50x0.50 m",m,393864.0,476
4.57,4,"Columna en concreto de 24.2 MPa, 0.50x0.60 m",m,454718.0,477
4.58,4,"Columna en concreto de 24.2 MPa, 0.60x0.60 m",m,528065.0,478
4.59,4,Columna en concreto de 27.6 MPa,m3,1365788.0,479
4.60,4,"Columna en concreto de 27.6 MPa, 0.25x0.25 m",m,163947.0,480
4.61,4,"Columna en concreto de 27.6 MPa, 0.25x0.30 m",m,189553.0,481
4.62,4,"Columna en concreto de 27.6 MPa, 0.30x0.30 m",m,198912.0,482
4.63,4,"Columna en concreto de 27.6 MPa, 0.30x0.60 m",m,332380.0,483
4.64,4,"Columna en concreto de 27.6 MPa, 0.35x0.35 m",m,241262.0,484
4.65,4,"Columna en concreto de 27.6 MPa, 0.35x0.40 m",m,275316.0,485
4.66,4,"Columna en concreto de 27.6 MPa, 0.35x0.50 m",m,322699.0,486
4.67,4,"Columna en concreto de 27.6 MPa, 0.40x0.40 m",m,287599.0,487
4.68,4,"Columna en concreto de 27.6 MPa, 0.40x0.50 m",m,337906.0,488
4.69,4,"Columna en concreto de 27.6 MPa, 0.40x0.60 m",m,388247.0,489
4.70,4,"Columna en concreto de 27.6 MPa, 0.45x0.50 m",m,385833.0,490
4.71,4,"Columna en concreto de 27.6 MPa, 0.50x0.50 m",m,401040.0,491
4.72,4,"Columna en concreto de 27.6 MPa, 0.50x0.60 m",m,463312.0,492
4.73,4,"Columna en concreto de 27.6 MPa, 0.60x0.60 m",m,538385.0,493
4.74,4,Dintel 12x15 cm concreto de 20.7 MPa (incl. refuerzo),m,50436.0,494
4.75,4,Escalera en concreto de 20.7 MPa,m3,1961302.0,495
4.76,4,"Escalera en concreto de 20.7 MPa, e= 0.15 m",m2,542909.0,496
4.77,4,Junta en icopor e= 2.0 cm,m2,15757.0,497
4.78,4,Junta en icopor e= 4.5 cm,m2,25108.0,498
4.79,4,Malla electrosoldada 4.0 mm 25x25 cm (050),m2,12470.0,499
4.80,4,Malla electrosoldada 4.0 mm 20x20 cm (063),m2,14200.0,500
4.81,4,Malla electrosoldada 4.0 mm 15x15 cm (084),m2,17339.0,501
4.82,4,Malla electrosoldada 4.5 mm 15x15 cm (106),m2,20715.0,502
4.83,4,Malla electrosoldada 5.0 mm 15x15 cm (131),m2,24984.0,503
4.84,4,Malla electrosoldada 5.5 mm 15x15 cm (159),m2,29105.0,504
4.85,4,Malla electrosoldada 6.0 mm 15x15 cm (188),m2,33533.0,505
4.86,4,Malla electrosoldada 6.5 mm 15x15 cm (221),m2,38504.0,506
4.87,4,Malla electrosoldada 7.0 mm 15x15 cm (257),m2,44339.0,507
4.88,4,Malla electrosoldada 7.5 mm 15x15 cm (295),m2,50011.0,508
4.89,4,Malla electrosoldada 8.0 mm 15x15 cm (335),m2,56230.0,509
4.90,4,Malla electrosoldada 8.5 mm 15x15 cm (378),m2,62588.0,510
4.91,4,Muro en concreto de 20.7 MPa e= 0.10 m (Formaleta Met),m2,195265.0,511
4.92,4,Muro en concreto de 20.7 MPa e= 0.10 m (Formaleta T),m2,241426.0,512
4.93,4,Muro en concreto de 20.7 MPa e= 0.12 m (Formaleta Met),m2,234318.0,513
4.94,4,Muro en concreto de 20.7 MPa e= 0.12 m (Formaleta T),m2,289711.0,514
4.95,4,Muro en concreto de 20.7 MPa e= 0.15 m (Formaleta Met),m2,258976.0,515
4.96,4,Muro en concreto de 20.7 MPa e= 0.20 m (Formaleta Met),m2,345302.0,516
4.97,4,Muro en concreto de 20.7 MPa e= 0.25 m (Formaleta Met),m2,420343.0,517
4.98,4,Muro en concreto de 24.2 MPa e= 0.10 m (Formaleta Met),m2,198939.0,518
4.99,4,Muro en concreto de 24.2 MPa e= 0.10 m (Formaleta T),m2,245099.0,519
4.100,4,Muro en concreto de 24.2 MPa e= 0.12 m (Formaleta Met),m2,238726.0,520
4.101,4,Muro en concreto de 24.2 MPa e= 0.12 m (Formaleta T),m2,294119.0,521
4.102,4,Muro en concreto de 24.2 MPa e= 0.15 m (Formaleta Met),m2,264486.0,522
4.103,4,Muro en concreto de 24.2 MPa e= 0.20 m (Formaleta Met),m2,352648.0,523
4.104,4,Muro en concreto de 24.2 MPa e= 0.25 m (Formaleta Met),m2,429526.0,524
4.105,4,Muro en concreto de 27.6 MPa e= 0.10 m (Formaleta Met),m2,201804.0,525
4.106,4,Muro en concreto de 27.6 MPa e= 0.10 m (Formaleta T),m2,247964.0,526
4.107,4,Muro en concreto de 27.6 MPa e= 0.12 m (Formaleta Met),m2,242164.0,527
4.108,4,Muro en concreto de 27.6 MPa e= 0.12 m (Formaleta T),m2,297557.0,528
4.109,4,Muro en concreto de 27.6 MPa e= 0.15 m (Formaleta Met),m2,268784.0,529
4.110,4,Muro en concreto de 27.6 MPa e= 0.20 m (Formaleta Met),m2,358378.0,530
4.111,4,Muro en concreto de 27.6 MPa e= 0.25 m (Formaleta Met),m2,436689.0,531
4.112,4,Muro/ Pantalla en concreto de 20.7 MPa (Sistema Forsa),m3,1213638.0,532
4.113,4,Muro/ Pantalla en concreto de 24.2 MPa (Sistema Forsa),m3,1234654.0,533
4.114,4,Muro/ Pantalla en concreto de 27.6 MPa (Sistema Forsa),m3,1256406.0,534
4.115,4,"Placa aligerada con bloque No. 5, 20.7 MPa, e= 0.15 m",m2,165965.0,535
4.116,4,"Placa aligerada con bloquelón, concreto de 20.7 MPa",m2,197734.0,536
4.117,4,"Placa aligerada con esterilla, 20.7 MPa, e= 0.30 m",m2,266708.0,537
4.118,4,"Placa aligerada con esterilla, 20.7 MPa, e= 0.40 m",m2,331638.0,538
4.119,4,"Placa aligerada con esterilla, 20.7 MPa, e= 0.45 m",m2,362719.0,539
4.120,4,"Placa aligerada con esterilla, 20.7 MPa, e= 0.50 m",m2,393055.0,540
4.121,4,"Placa aligerada con icopor, 20.7 MPa, e= 0.30 m",m2,265520.0,541
4.122,4,"Placa aligerada con icopor, 20.7 MPa, e= 0.40 m",m2,336756.0,542
4.123,4,"Placa aligerada con icopor, 20.7 MPa, e= 0.45 m",m2,369929.0,543
4.124,4,"Placa aligerada con icopor, 20.7 MPa, e= 0.50 m",m2,402286.0,544
4.125,4,"Placa aligerada con ladrillo, 20.7 MPa, e= 0.15 m",m2,168257.0,545
4.126,4,"Placa aligerada con madera, 20.7 MPa, e= 0.30 m",m2,261802.0,546
4.127,4,"Placa aligerada con madera, 20.7 MPa, e= 0.40 m",m2,322398.0,547
4.128,4,"Placa aligerada con madera, 20.7 MPa, e= 0.45 m",m2,351764.0,548
4.129,4,"Placa aligerada con madera, 20.7 MPa, e= 0.50 m",m2,380408.0,549
4.130,4,"Placa deck steel 2"" Cal. 22, concreto de 20.7 MPa",m2,217482.0,550
4.131,4,"Placa deck steel 3"" Cal. 22, concreto de 20.7 MPa",m2,232250.0,551
4.132,4,Placa en concreto de 20.7 MPa (Sistema Forsa),m3,1239526.0,552
4.133,4,"Placa en metaldeck de 2"" Cal. 22, concreto de 20.7 MPa",m2,208724.0,553
4.134,4,"Placa en metaldeck de 3"" Cal. 22, concreto de 20.7 MPa",m2,217928.0,554
4.135,4,"Placa maciza/ losa en concreto de 20.7 MPa, e= 0.10 m",m2,138603.0,555
4.136,4,"Placa maciza/ losa en concreto de 20.7 MPa, e= 0.12 m",m2,166306.0,556
4.137,4,"Placa maciza/ losa en concreto de 20.7 MPa, e= 0.15 m",m2,190944.0,557
4.138,4,"Placa maciza/ losa en concreto de 20.7 MPa, e= 0.20 m",m2,234171.0,558
4.139,4,Protección de edificios con polisombra de 35%,m2,4666.0,559
4.140,4,Protección de edificios con polisombra de 80%,m2,5007.0,560
4.141,4,Reparación estructura de concreto con Sikatop 122,m2,117429.0,561
4.142,4,Sellado fisura estructura de concreto con Sikadur 52,Kg,211679.0,562
4.143,4,Sillar en concreto con cortagoteras (incl. refuerzo),m,54675.0,563
4.144,4,Suministro y aplicación de Sikadur 32 Primer,m2,108008.0,564
4.145,4,"Viga canal en concreto de 20.7 MPa sección < 2,001 cm²",m,335028.0,565
4.146,4,"Viga canal en concreto de 24.2 MPa sección < 2,001 cm²",m,343922.0,566
4.147,4,"Viga canal en concreto de 27.6 MPa sección < 2,001 cm²",m,350995.0,567
4.148,4,Viga cinta 15x10 cm concreto 20.7 MPa (incl. refuerzo),m,49018.0,568
4.149,4,Viga de amarre 15x20 cm de 20.7 MPa (incl. refuerzo),m,105322.0,569
4.150,4,Viga de amarre 15x30 cm de 20.7 MPa (incl. refuerzo),m,157984.0,570
4.151,4,Viga en concreto de 20.7 MPa,m3,1186837.0,571
4.152,4,"Viga en concreto de 20.7 MPa, 0.25x0.25 m",m,94484.0,572
4.153,4,"Viga en concreto de 20.7 MPa, 0.25x0.30 m",m,113400.0,573
4.154,4,"Viga en concreto de 20.7 MPa, 0.25x0.35 m",m,132303.0,574
4.155,4,"Viga en concreto de 20.7 MPa, 0.25x0.40 m",m,151197.0,575
4.156,4,"Viga en concreto de 20.7 MPa, 0.30x0.30 m",m,136076.0,576
4.157,4,"Viga en concreto de 20.7 MPa, 0.30x0.35 m",m,158789.0,577
4.158,4,"Viga en concreto de 20.7 MPa, 0.30x0.40 m",m,181406.0,578
4.159,4,"Viga en concreto de 20.7 MPa, 0.30x0.50 m",m,226741.0,579
4.160,4,"Viga en concreto de 20.7 MPa, 0.35x0.35 m",m,185183.0,580
4.161,4,"Viga en concreto de 20.7 MPa, 0.40x0.40 m",m,241862.0,581
4.162,4,"Viga en concreto de 20.7 MPa, 0.40x0.50 m",m,302361.0,582
4.163,4,Viga en concreto de 24.2 MPa,m3,1223571.0,583
4.164,4,"Viga en concreto de 24.2 MPa, 0.25x0.25 m",m,96781.0,584
4.165,4,"Viga en concreto de 24.2 MPa, 0.25x0.30 m",m,116157.0,585
4.166,4,"Viga en concreto de 24.2 MPa, 0.25x0.35 m",m,135520.0,586
4.167,4,"Viga en concreto de 24.2 MPa, 0.25x0.40 m",m,154870.0,587
4.168,4,"Viga en concreto de 24.2 MPa, 0.30x0.30 m",m,139382.0,588
4.169,4,"Viga en concreto de 24.2 MPa, 0.30x0.35 m",m,162648.0,589
4.170,4,"Viga en concreto de 24.2 MPa, 0.30x0.40 m",m,185814.0,590
4.171,4,"Viga en concreto de 24.2 MPa, 0.30x0.50 m",m,232251.0,591
4.172,4,"Viga en concreto de 24.2 MPa, 0.35x0.35 m",m,189683.0,592
4.173,4,"Viga en concreto de 24.2 MPa, 0.40x0.40 m",m,247740.0,593
4.174,4,"Viga en concreto de 24.2 MPa, 0.40x0.50 m",m,309708.0,594
4.175,4,Viga en concreto de 27.6 MPa,m3,1252220.0,595
4.176,4,"Viga en concreto de 27.6 MPa, 0.25x0.25 m",m,98572.0,596
4.177,4,"Viga en concreto de 27.6 MPa, 0.25x0.30 m",m,118307.0,597
4.178,4,"Viga en concreto de 27.6 MPa, 0.25x0.35 m",m,138028.0,598
4.179,4,"Viga en concreto de 27.6 MPa, 0.25x0.40 m",m,157735.0,599
4.180,4,"Viga en concreto de 27.6 MPa, 0.30x0.30 m",m,141960.0,600
4.181,4,"Viga en concreto de 27.6 MPa, 0.30x0.35 m",m,165658.0,601
4.182,4,"Viga en concreto de 27.6 MPa, 0.30x0.40 m",m,189252.0,602
4.183,4,"Viga en concreto de 27.6 MPa, 0.30x0.50 m",m,236549.0,603
4.184,4,"Viga en concreto de 27.6 MPa, 0.35x0.35 m",m,193194.0,604
4.185,4,"Viga en concreto de 27.6 MPa, 0.40x0.40 m",m,252324.0,605
4.186,4,"Viga en concreto de 27.6 MPa, 0.40x0.50 m",m,315437.0,606
5.01,5,Grouting de nivelación tipo SikaGrout 200,dm3,34445.0,607
5.02,5,Grouting de nivelación tipo SikaGrout 212,dm3,27528.0,608
5.03,5,Junta de construcción en alfajor a= 22 cm,m,242415.0,609
5.04,5,Limpieza con chorro de arena (Sand Blasting) en superficie metálica.,m2,22649.0,610
5.05,5,Montaje de estructura metálica (incl. pintura),Kg,11247.0,611
5.06,5,Perfil metálico C 100x50x1.5 mm,m,42364.0,612
5.07,5,Perfil metálico C 100x50x2.0 mm,m,54138.0,613
5.08,5,Perfil metálico C 120x60x1.5 mm,m,52382.0,614
5.09,5,Perfil metálico C 120x60x2.0 mm,m,66859.0,615
5.10,5,Perfil metálico C 150x50x1.5 mm,m,50641.0,616
5.11,5,Perfil metálico C 150x50x2.0 mm,m,66958.0,617
5.12,5,Perfil metálico C 160x60x1.5 mm,m,60802.0,618
5.13,5,Perfil metálico C 160x60x2.0 mm,m,81575.0,619
5.14,5,Perfil metálico C 200x50x2.0 mm,m,84263.0,620
5.15,5,Perfil metálico C 220x80x1.5 mm,m,82107.0,621
5.16,5,Perfil metálico C 300x65x2.0 mm,m,124677.0,622
5.17,5,Perfil metálico C 350x85x3.0 mm,m,202003.0,623
5.18,5,Perfil metálico C 355x110x3.0 mm,m,243611.0,624
5.19,5,Perfil metálico en cajón C 100x50x1.5 mm,m,84728.0,625
5.20,5,Perfil metálico en cajón C 100x50x2.0 mm,m,108276.0,626
5.21,5,Perfil metálico en cajón C 120x60x1.5 mm,m,104765.0,627
5.22,5,Perfil metálico en cajón C 120x60x2.0 mm,m,133718.0,628
5.23,5,Perfil metálico en cajón C 150x50x1.5 mm,m,101282.0,629
5.24,5,Perfil metálico en cajón C 150x50x2.0 mm,m,133917.0,630
5.25,5,Perfil metálico en cajón C 160x60x1.5 mm,m,121605.0,631
5.26,5,Perfil metálico en cajón C 160x60x2.0 mm,m,163149.0,632
5.27,5,Perfil metálico en cajón C 200x50x2.0 mm,m,168525.0,633
5.28,5,Sandblasting y pintura de estructura metálica,Kg,3119.0,634
5.29,5,Sumin. e Instal. estructura metálica (incl. pintura),Kg,18365.0,635
5.30,5,"Sumin. e Instal. riostra en Ø= 1/2"" (incl. pintura)",m,15866.0,636
5.31,5,"Sumin. e Instal. templete en Ø= 3/8"" (incl. pintura)",m,8844.0,637
6.01,6,Afinado de cubierta plana en mortero imperm. e= 6 cm,m2,65411.0,638
6.02,6,Alfajía/ lagrimal en concreto (incl. refuerzo),m,99409.0,639
6.03,6,Alfajía/ lagrimal en lámina galv. Cal. 22 S= 30 cm,m,40289.0,640
6.04,6,Bajante pvc amazona,m,75869.0,641
6.05,6,Caballete en teja colonial,m,86705.0,642
6.06,6,Caballete en teja ondulada P7,m,73556.0,643
6.07,6,Caballete en teja termoacústica,m,124576.0,644
6.08,6,Cadena galvanizada para bajante de aguas lluvias,m,15366.0,645
6.09,6,Canal en lámina galvanizada Cal. 20 S= 50 cm,m,127603.0,646
6.10,6,Canal en lámina galvanizada Cal. 22 S= 50 cm,m,121511.0,647
6.11,6,Canal pvc amazona,m,102432.0,648
6.12,6,Claraboya colonial L= 1.60 m (incl. vidrio),Un,236783.0,649
6.13,6,Claraboya No. 4 P7 (incl. vidrio),Un,115251.0,650
6.14,6,Claraboya No. 6 P7 (incl. vidrio),Un,154474.0,651
6.15,6,Cubierta Arquitectónica Acesco,m2,67957.0,652
6.16,6,Cubierta Corpatecho Corpacero Cal. 26,m2,85588.0,653
6.17,6,Cubierta en madera y paja vende aguja,m2,599921.0,654
6.18,6,Cubierta en panel de Aluzinc Cal. 26 tipo Sandwich,m2,309090.0,655
6.19,6,Cubierta en policarbonato alveolar de 4 mm,m2,83094.0,656
6.20,6,Cubierta en policarbonato alveolar de 6 mm,m2,83094.0,657
6.21,6,Cubierta en teja Techoline,m2,76485.0,658
6.22,6,Cubierta Sandwich Deck tipo C Hunter Douglas con aislamiento en poliuretano.,m2,438360.0,659
6.23,6,Cubierta Sandwich Deck tipo C Hunter Douglas con aislamiento en poliuretano y fibra de vidrio.,m2,522094.0,660
6.24,6,Cubierta sencilla tipo C Hunter Douglas,m2,224691.0,661
6.25,6,"Cubierta Standing Seam Cal. 24 x 1.5""",m2,125331.0,662
6.26,6,"Cubierta Standing Seam Cal. 28 x 1.5"" tipo Sandwich con aislamiento en poliuretano.",m2,260480.0,663
6.27,6,"Cubierta Standing Seam Cal. 28 x 1.5"" tipo Sandwich con aislamiento en poliuretano y fibra de vidrio.",m2,344214.0,664
6.28,6,Entramado en madera para teja colonial de 1.60 m,m2,64203.0,665
6.29,6,Entramado en madera para teja No. 4,m2,52158.0,666
6.30,6,Entramado en madera para teja No. 6,m2,34639.0,667
6.31,6,Estructura perlín en C para teja No. 4,m2,66736.0,668
6.32,6,Estructura perlín en C para teja No. 6,m2,41312.0,669
6.33,6,Flanche con cinta Sika MultiSeal a= 10 cm,m,27120.0,670
6.34,6,Flanche con cinta Sika MultiSeal a= 15 cm,m,35852.0,671
6.35,6,Flanche en lámina galvanizada Cal. 26,m,32002.0,672
6.36,6,Impermeabilización de cubierta con SikaFill Power 12,m2,39230.0,673
6.37,6,Marquesina en lámina y vidrio,m2,98110.0,674
6.38,6,Recorrido de canales,m,12593.0,675
6.39,6,Recorrido de techos en teja ondulada,m2,22840.0,676
6.40,6,Recorrido de techos en teja colonial,m2,12299.0,677
6.41,6,Reparación de fisura en teja o lámina de fibrocemento,m,65237.0,678
6.42,6,Techo en teja asfáltica,m2,44948.0,679
6.43,6,Techo en teja de barro 30x15 cm sobre madera y mortero,m2,220090.0,680
6.44,6,Techo en teja de barro 40x24 cm sobre madera e icopor,m2,188325.0,681
6.45,6,Techo en teja de barro 40x24 cm sobre madera y mortero,m2,164802.0,682
6.46,6,Techo en teja de zinc,m2,72358.0,683
6.47,6,Teja ajover traslucida,m2,86289.0,684
6.48,6,Teja canaleta 43,m2,163588.0,685
6.49,6,Teja canaleta 90,m2,92439.0,686
6.50,6,Teja colonial de 1.60 m,m2,111132.0,687
6.51,6,Teja ondulada No. 4 P7,m2,74658.0,688
6.52,6,Teja ondulada No. 6 P7,m2,70166.0,689
6.53,6,Teja Shingle,m2,174436.0,690
6.54,6,Teja termoacústica,m2,110725.0,691
6.55,6,Teja transparente policarbonato No. 4,m2,137816.0,692
6.56,6,Teja transparente policarbonato No. 6,m2,130858.0,693
6.57,6,Teja UPVC 2.0 mm,m2,85974.0,694
7.01,7,"Arco muro ladrillo en soga 6x12x24 cm, Ø= 2.00 m",Un,278979.0,695
7.02,7,Calados en cemento e= 10 cm,m2,137238.0,696
7.03,7,Calados en grés e= 10 cm,m2,91739.0,697
7.04,7,"Cenefa ladrillo en soga 6x12x24 cm, 2 hiladas",m,54708.0,698
7.05,7,Dovela con grouting 17.2 MPa para muros,m3,822790.0,699
7.06,7,Dovela con grouting 20.7 MPa para muros,m3,846168.0,700
7.07,7,"Enchape o revestimiento de muro en drywall de 1/2""",m2,57151.0,701
7.08,7,Enchape o revestimiento de muro en fachaleta ladrillo,m2,73042.0,702
7.09,7,Enchape o revestimiento de muro en superboard de 10 mm,m2,74255.0,703
7.10,7,Mesón en granito pulido,m2,373853.0,704
7.11,7,Mesón en mármol negro San Gil,m2,263721.0,705
7.12,7,Mesón en Quarztone blanco polar,m2,795040.0,706
7.13,7,Muro de bahareque,m2,130436.0,707
7.14,7,Muro en adobe e= 20 cm,m2,102170.0,708
7.15,7,Muro en bloque de cemento e= 10 cm,m2,82300.0,709
7.16,7,Muro en bloque de cemento e= 12 cm,m2,101652.0,710
7.17,7,Muro en bloque de cemento e= 15 cm,m2,117949.0,711
7.18,7,Muro en bloque de cemento e= 20 cm,m2,157579.0,712
7.19,7,Muro en bloque de cemento split e= 15 cm,m2,154899.0,713
7.20,7,"Muro en bloque e= 15 cm, refuerzo y grouting 17.2 MPa",m2,273279.0,714
7.21,7,"Muro en bloque e= 20 cm, refuerzo y grouting 17.2 MPa",m2,338377.0,715
7.22,7,Muro en bloque No. 4 e= 10 cm,m2,63056.0,716
7.23,7,Muro en bloque No. 5 e= 12 cm,m2,71450.0,717
7.24,7,"Muro en drywall de 1/2"" (1F)",m2,77440.0,718
7.25,7,"Muro en drywall de 1/2"" (2F)",m2,124814.0,719
7.26,7,"Muro en drywall de 1/2"" (2F) y frescasa 3 ½"" SP",m2,152834.0,720
7.27,7,Muro en durapanel e= 15 cm,m2,171420.0,721
7.28,7,Muro en eterboard de 8 mm (2F),m2,150428.0,722
7.29,7,"Muro en eterboard de 8 mm (2F) y frescasa 3 ½"" SP",m2,178187.0,723
7.30,7,"Muro en ladrillo caravista 7x10x24 cm, e= 10 cm",m2,144391.0,724
7.31,7,Muro en ladrillo cartagena,m2,272040.0,725
7.32,7,Muro en ladrillo catalán e= 15 cm,m2,155737.0,726
7.33,7,Muro en ladrillo estructural e= 12 cm,m2,122391.0,727
